game_name,game_description_snippet,game_price,found_game_price,all_language_reviews_type,all_language_reviews_count,has_russian_reviews,all_russian_reviews_type,all_russian_reviews_count,first_release_date,genres,total_rating,total_rating_count,popularity_igdb,reviews_score,russian_reviews_score,has_external_platform
Shigatari,Shigatari is a samurai role-playing game with historical artwork.,79.0,1.0,Очень положительные,269.0,0.0,Отзывы отсутствуют,0.0,2017-08-25,Role-playing (RPG),70.0,0.0,0.0,8.0,0.0,False
Globesweeper,"Use logic to clear tiles while avoiding mines. Choose from tiny one minute globes to colossal hour long marathons. With hexagonal, square and triangle game modes this unforgiving puzzle game will keep you coming back for more.",125.0,1.0,Очень положительные,343.0,0.0,Отзывы отсутствуют,0.0,2019-02-12,Puzzle,70.0,1.0,1.566974965e-05,8.0,0.0,False
Дискетные рыцари,"Встречайте дискетных рыцарей! Это осязаемые проекции из дискет! Тактика и механики карточной игры помогают Фиби, блестящей юной изобретательнице, и ее лучшему другу-роборуке Карлтону решительно вступать в пошаговые битвы. Выберите рыцарей, соберите сильную колоду и следуйте стратегии до победы!",,0.0,Очень положительные,285.0,0.0,Отзывы отсутствуют,0.0,2022-05-24,"Strategy, Turn-based strategy (TBS), Tactical, Adventure, Card & Board Game",84.20974254790158,10.0,7.816316690500001e-05,8.0,0.0,True
Rage in Peace,"Rage in Peace is a story-driven action adventure with elements of surprise and memorization. Unravel the last day of Timmy's life, as he races against time to get back home and fulfill his sole dream of dying peacefully in his pajamas, in the warmth of home, in peace, and with no drama.",,0.0,Очень положительные,279.0,0.0,Отзывы отсутствуют,0.0,2018-11-08,"Platform, Adventure",73.75,5.0,1.7901104441e-05,8.0,0.0,True
Ninjin: Clash of Carrots,"Ninjin: Clash of Carrots — аниме-боевик со множеством врагов и возможностью менять персонажа под себя. Играть можно за кролика Ninjin и лису Akai, которым нужно вернуть морковь, украденную Shogun Moe.",259.0,1.0,Очень положительные,315.0,0.0,Отзывы отсутствуют,0.0,2018-09-04,"Shooter, Role-playing (RPG), Adventure, Arcade",78.95943178830504,7.0,1.4837253441e-05,8.0,0.0,False
Card Hog,"Свиноцентричное подземелье, полное странных существ, мощного оружия, волшебных штук и захватывающих комбинаций карт!",240.0,1.0,Очень положительные,458.0,0.0,Отзывы отсутствуют,0.0,2021-03-22,"Puzzle, Role-playing (RPG), Strategy, Turn-based strategy (TBS), Card & Board Game",80.0,2.0,1.5655371869e-05,8.0,0.0,True
Microcosmum: survival of cells,Microcosmum: survival of cells. Погрузитесь в невообразимый и красивый мир микроорганизмов.,320.0,1.0,Очень положительные,1110.0,0.0,Отзывы отсутствуют,0.0,2015-07-24,"Role-playing (RPG), Simulator, Strategy",50.0,1.0,3.135739909e-06,8.0,0.0,True
Evasion,"Experience the next generation of VR combat with Evasion, an intense sci-fi bullet-hell shooter. Play solo or team up with a friend as you run, dodge, and unleash devastating Surge Attacks as you fight your way through an action-packed story campaign.",435.0,1.0,Смешанные,48.0,0.0,Отзывы отсутствуют,0.0,2018-12-31,"Shooter, Adventure",64.0,2.0,2.33742715e-06,5.0,0.0,False
Dunk Lords,"Dunk Lords is a two-on-two basketball beat 'em up featuring over-the-top special moves, devastating dunks, and game-changing equipment. Choose from 20 of the baddest ballers around, each with unique special attacks and abilities, and do battle on a variety of hazard-filled courts.",259.0,1.0,Положительные,42.0,0.0,Отзывы отсутствуют,0.0,2020-03-18,"Fighting, Sport, Arcade",70.0,3.0,7.796216427e-06,6.0,0.0,False
Roah,"A great unknown danger is approaching Roah's home planet. Follow Roah as she explores the world and encountering all of its different factions, uncovering the mystery of what is draining the planets lifeforce.",465.0,1.0,В основном положительные,60.0,0.0,Отзывы отсутствуют,0.0,2019-11-28,"Fighting, Platform, Role-playing (RPG), Adventure",50.0,1.0,5.444411495e-06,7.0,0.0,False
Rising Dusk,An Anti-Coin Collection Platformer inspired by Japanese folktales. Befriend an assortment of ghosts and ghouls as you explore the world hidden in the dusk.,175.0,1.0,Положительные,43.0,0.0,Отзывы отсутствуют,0.0,2018-07-26,"Platform, Puzzle, Adventure",75.0,2.0,2.33742715e-06,6.0,0.0,False
Battlesloths 2025: The Great Pizza Wars,"""Ленивцы. Пицца. Хаос. Боевые ленивцы 2025: великие войны за пиццу — динамичная совместная стрелялка, где нужно обеими руками управлять ленивцем. Игра является продолжением игры Battlesloths, рассчитана на 4 или менее игроков, а если не хватает друзей, то можно сыграть против компьютерных противников.",129.0,1.0,Очень положительные,56.0,0.0,Отзывы отсутствуют,0.0,2017-06-06,Shooter,77.5,1.0,7.026659230999999e-06,8.0,0.0,False
Beekyr Reloaded,The giant hornets have destroyed your hive and taken the pollen. Fight the swarms alone or with a friend and destroy the dangerous hornet queen! The insect world is very dangerous but... what are you waiting for to get your revenge?,259.0,1.0,Очень положительные,74.0,0.0,Отзывы отсутствуют,0.0,2017-11-14,"Shooter, Adventure, Arcade",70.0,1.0,7.83934977e-07,8.0,0.0,False
Beeftacular,Beeftacular is a fast-paced platformer where you have to clean levels from rotten meat chunks as fast as possible. Jump your way through the level and use your attacks to hack all of them into pieces. Compare your speedruns with your friends and the world.,280.0,1.0,Очень положительные,110.0,0.0,Отзывы отсутствуют,0.0,2016-08-26,"Platform, Racing, Sport",60.0,0.0,0.0,8.0,0.0,True
Forbidden Clicker Party,"There's a reason it's called ''Forbidden'' CLICKER PARTY! Your task is simple- kill baddies and get acorns, then upgrade your team with those acorns & face new waves of rather funny looking enemies in this infinity clicker.",82.0,1.0,В основном положительные,55.0,0.0,Отзывы отсутствуют,0.0,2018-01-29,"Role-playing (RPG), Strategy, Adventure",70.0,3.0,3.919674886e-06,7.0,0.0,True
Hidden Through Time 2: Discovery,"Hidden Through Time 2: Discovery — спокойная приятная игра о поиске предметов, где вам предстоит найти тайные сокровища в интерактивных пейзажах, нарисованных вручную. Разожгите искру вдохновения, откройте в себе художника и поделитесь созданными в редакторе шедеврами со всем миром!",420.0,1.0,Очень положительные,158.0,0.0,Отзывы отсутствуют,0.0,2024-08-13,"Point-and-click, Puzzle, Adventure",76.5,2.0,1.554929951e-05,8.0,0.0,True
Sylvio,"Sylvio is a psychological horror game set in a tranquil, disturbing atmosphere. Help ghost recorder Juliette Waters face an evil curse and a wicked family cult with her microphone and the voices of the dead.",289.0,1.0,В основном положительные,116.0,0.0,Отзывы отсутствуют,0.0,2015-06-05,Adventure,56.5,3.0,1.8656283855e-05,7.0,0.0,False
Mecha Ritz: Steel Rondo,"Mecha Ritz: Steel Rondo is a vertical scrolling arcade shoot 'em up following the journey of a lone Mecha through the desolate retro stylized world and the onslaught of enemy waves to reach Veloce, the young genius responsible for the extinction of humankind.",360.0,1.0,Очень положительные,103.0,0.0,Отзывы отсутствуют,0.0,2016-06-09,"Shooter, Arcade",70.0,2.0,1.567869955e-06,8.0,0.0,False
